73500	201401	8100	41946
73200	201402	7400	45758
73800	201403	7400	61853
74000	201404	8200	94241
74400	201405	7400	114121
73800	201406	7400	135677
74600	201407	7400	136098
73600	201408	7400	121550
73800	201409	8300	122219
74000	201410	7400	105532
73500	201411	7400	95595
73600	201412	7447	96972
74000	201501	7990	98203
76500	201502	7653	103224
746725	201503	7605	124463
747597	201504	7601	127983
748468	201505	7597	131502
74932	201506	7593	135021
75019	201507	7589	138540
75106	201508	7585	142059
75193	201509	7581	145578
